Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
52	 0.003297	 0.003123	 0.000092	 0.000000	 0.000048	0.164559	 0.157365	 0.003334	 0.000000	 0.002046
53	 0.003373	 0.003231	 0.000062	 0.000000	 0.000042	0.167932	 0.160596	 0.003396	 0.000000	 0.002088
54	 0.002865	 0.002740	 0.000054	 0.000000	 0.000039	0.170797	 0.163336	 0.003450	 0.000000	 0.002127
55	 0.002874	 0.002780	 0.000036	 0.000000	 0.000032	0.173671	 0.166116	 0.003486	 0.000000	 0.002159
56	 0.003124	 0.002983	 0.000060	 0.000000	 0.000047	0.176795	 0.169099	 0.003546	 0.000000	 0.002206
57	 0.002892	 0.002760	 0.000068	 0.000000	 0.000033	0.179687	 0.171859	 0.003614	 0.000000	 0.002239
58	 0.003362	 0.003199	 0.000077	 0.000000	 0.000047	0.183049	 0.175058	 0.003691	 0.000000	 0.002286
59	 0.002906	 0.002782	 0.000057	 0.000000	 0.000034	0.185955	 0.177840	 0.003748	 0.000000	 0.002320
60	 0.002911	 0.002761	 0.000066	 0.000000	 0.000045	0.188866	 0.180601	 0.003814	 0.000000	 0.002365
61	 0.002762	 0.002656	 0.000051	 0.000000	 0.000028	0.191628	 0.183257	 0.003865	 0.000000	 0.002393
62	 0.002587	 0.002439	 0.000071	 0.000000	 0.000045	0.194215	 0.185696	 0.003936	 0.000000	 0.002438
63	 0.002570	 0.002486	 0.000032	 0.000000	 0.000026	0.196785	 0.188182	 0.003968	 0.000000	 0.002464
64	 0.003064	 0.002924	 0.000059	 0.000000	 0.000046	0.199849	 0.191106	 0.004027	 0.000000	 0.002510
65	 0.003154	 0.003047	 0.000047	 0.000000	 0.000031	0.203003	 0.194153	 0.004074	 0.000000	 0.002541
66	 0.002962	 0.002754	 0.000096	 0.000000	 0.000077	0.205965	 0.196907	 0.004170	 0.000000	 0.002618
67	 0.002680	 0.002579	 0.000047	 0.000000	 0.000028	0.208645	 0.199486	 0.004217	 0.000000	 0.002646
68	 0.003104	 0.002949	 0.000073	 0.000000	 0.000045	0.211749	 0.202435	 0.004290	 0.000000	 0.002691
69	 0.002785	 0.002652	 0.000056	 0.000000	 0.000043	0.214534	 0.205087	 0.004346	 0.000000	 0.002734
70	 0.002878	 0.002720	 0.000076	 0.000000	 0.000046	0.217412	 0.207807	 0.004422	 0.000000	 0.002780
71	 0.002653	 0.002545	 0.000048	 0.000000	 0.000031	0.220065	 0.210352	 0.004470	 0.000000	 0.002811
72	 0.002956	 0.002813	 0.000062	 0.000000	 0.000048	0.223021	 0.213165	 0.004532	 0.000000	 0.002859
73	 0.002704	 0.002604	 0.000045	 0.000000	 0.000029	0.225725	 0.215769	 0.004577	 0.000000	 0.002888
74	 0.002784	 0.002643	 0.000061	 0.000000	 0.000048	0.228509	 0.218412	 0.004638	 0.000000	 0.002936
75	 0.002956	 0.002861	 0.000034	 0.000000	 0.000031	0.231465	 0.221273	 0.004672	 0.000000	 0.002967
76	 0.002941	 0.002756	 0.000094	 0.000000	 0.000056	0.234406	 0.224029	 0.004766	 0.000000	 0.003023
77	 0.002901	 0.002793	 0.000048	 0.000000	 0.000030	0.237307	 0.226822	 0.004814	 0.000000	 0.003053
78	 0.002786	 0.002628	 0.000074	 0.000000	 0.000050	0.240093	 0.229450	 0.004888	 0.000000	 0.003103
79	 0.002616	 0.002529	 0.000034	 0.000000	 0.000028	0.242709	 0.231979	 0.004922	 0.000000	 0.003131
80	 0.002815	 0.002657	 0.000075	 0.000000	 0.000048	0.245524	 0.234636	 0.004997	 0.000000	 0.003179
81	 0.002567	 0.002475	 0.000035	 0.000000	 0.000030	0.248091	 0.237111	 0.005032	 0.000000	 0.003209
82	 0.002892	 0.002750	 0.000057	 0.000000	 0.000049	0.250983	 0.239861	 0.005089	 0.000000	 0.003258
83	 0.002881	 0.002753	 0.000060	 0.000000	 0.000036	0.253864	 0.242614	 0.005149	 0.000000	 0.003294
84	 0.003138	 0.002980	 0.000069	 0.000000	 0.000050	0.257002	 0.245594	 0.005218	 0.000000	 0.003344
85	 0.002875	 0.002722	 0.000083	 0.000000	 0.000035	0.259877	 0.248316	 0.005301	 0.000000	 0.003379
86	 0.002841	 0.002681	 0.000076	 0.000000	 0.000051	0.262718	 0.250997	 0.005377	 0.000000	 0.003430
87	 0.002948	 0.002853	 0.000034	 0.000000	 0.000031	0.265666	 0.253850	 0.005411	 0.000000	 0.003461
88	 0.002823	 0.002641	 0.000087	 0.000000	 0.000058	0.268489	 0.256491	 0.005498	 0.000000	 0.003519
89	 0.002618	 0.002530	 0.000033	 0.000000	 0.000028	0.271107	 0.259021	 0.005531	 0.000000	 0.003547
90	 0.002887	 0.002721	 0.000080	 0.000000	 0.000051	0.273994	 0.261742	 0.005611	 0.000000	 0.003598
91	 0.002725	 0.002626	 0.000044	 0.000000	 0.000028	0.276719	 0.264368	 0.005655	 0.000000	 0.003626
