Iter 	incumb_est 	candid_est 	error
158 	1.854430 	1.845239 	0.004956
159 	1.842767 	1.842767 	-0.000000
160 	1.831250 	1.831250 	-0.000000
161 	1.826087 	1.822744 	0.001830
162 	1.827160 	1.819628 	0.004123
163 	1.815951 	1.815951 	-0.000000
164 	1.817073 	1.814334 	0.001507
165 	1.818182 	1.808276 	0.005448
166 	1.807229 	1.807229 	-0.000000
167 	1.802395 	1.798685 	0.002059
168 	1.791667 	1.791667 	-0.000000
169 	1.781065 	1.781065 	0.000000
170 	1.782353 	1.777933 	0.002480
171 	1.771930 	1.771930 	-0.000000
172 	1.767442 	1.764212 	0.001827
173 	1.757225 	1.757225 	-0.000000
174 	1.758621 	1.752053 	0.003735
175 	1.748571 	1.748571 	-0.000000
176 	1.738636 	1.738636 	-0.000000
177 	1.740113 	1.735209 	0.002818
178 	1.730337 	1.730337 	-0.000000
179 	1.748603 	1.726173 	0.012828
180 	1.738889 	1.738888 	0.000001
181 	1.729282 	1.729282 	-0.000000
182 	1.730769 	1.727326 	0.001989
183 	1.726776 	1.723005 	0.002184
184 	1.722826 	1.715549 	0.004224
185 	1.724324 	1.719241 	0.002948
186 	1.720430 	1.717432 	0.001743
187 	1.711230 	1.711230 	-0.000000
188 	1.712766 	1.707447 	0.003106
189 	1.703704 	1.703704 	-0.000000
190 	1.705263 	1.704537 	0.000426
191 	1.717277 	1.702391 	0.008668
192 	1.708333 	1.704196 	0.002422
193 	1.709845 	1.704904 	0.002890
194 	1.706186 	1.703314 	0.001683
195 	1.707692 	1.698276 	0.005514
196 	1.739796 	1.730671 	0.005245
197 	1.730964 	1.730964 	-0.000000
198 	1.737374 	1.734570 	0.001614
199 	1.743719 	1.731410 	0.007059
200 	1.780000 	1.747873 	0.018049
201 	1.771144 	1.768989 	0.001217
202 	1.801980 	1.781557 	0.011334
203 	1.798030 	1.795471 	0.001423
204 	1.789216 	1.788957 	0.000145
205 	1.795122 	1.786363 	0.004880
206 	1.796117 	1.791454 	0.002596
207 	1.792271 	1.786970 	0.002957
208 	1.798077 	1.795400 	0.001489
209 	1.803828 	1.791770 	0.006684
210 	1.795238 	1.792227 	0.001677
211 	1.786730 	1.786730 	-0.000000
212 	1.783019 	1.781716 	0.000730
213 	1.774648 	1.774648 	-0.000000
214 	1.775701 	1.774049 	0.000930
215 	1.767442 	1.767442 	-0.000000
216 	1.763889 	1.760964 	0.001658
217 	1.755760 	1.755760 	-0.000000
218 	1.747706 	1.747706 	-0.000000
219 	1.744292 	1.741713 	0.001479
220 	1.750000 	1.743138 	0.003921
221 	1.751131 	1.741902 	0.005270
222 	1.743243 	1.743243 	-0.000000
223 	1.748879 	1.741999 	0.003934
224 	1.741071 	1.737425 	0.002094
225 	1.746667 	1.739463 	0.004124
226 	1.743363 	1.741211 	0.001234
227 	1.762115 	1.743404 	0.010618
228 	1.754386 	1.754386 	-0.000000
229 	1.746725 	1.746725 	-0.000000
230 	1.747826 	1.742801 	0.002875
231 	1.761905 	1.752577 	0.005294
232 	1.767241 	1.758803 	0.004775
233 	1.781116 	1.766761 	0.008059
234 	1.777778 	1.775542 	0.001257
235 	1.770213 	1.770213 	-0.000000
236 	1.762712 	1.762712 	-0.000000
237 	1.755274 	1.755274 	-0.000000
238 	1.747899 	1.747899 	-0.000000
239 	1.744770 	1.742406 	0.001355
240 	1.737500 	1.736866 	0.000365
241 	1.734440 	1.732275 	0.001248
242 	1.727273 	1.727273 	-0.000000
243 	1.720165 	1.720165 	-0.000000
244 	1.725410 	1.721176 	0.002454
245 	1.718367 	1.718367 	-0.000000
246 	1.723577 	1.721669 	0.001107
247 	1.740891 	1.725627 	0.008767
248 	1.754032 	1.738025 	0.009126
249 	1.746988 	1.745792 	0.000684
250 	1.744000 	1.741995 	0.001150
251 	1.745020 	1.740588 	0.002540
252 	1.746032 	1.737011 	0.005167
253 	1.739130 	1.739130 	-0.000000
254 	1.732283 	1.732283 	-0.000000
255 	1.733333 	1.729938 	0.001959
256 	1.746094 	1.737396 	0.004981
257 	1.739300 	1.739300 	-0.000000
258 	1.755814 	1.754249 	0.000891
259 	1.756757 	1.749490 	0.004137
260 	1.765385 	1.754623 	0.006096
261 	1.766284 	1.761612 	0.002645
262 	1.763359 	1.761426 	0.001096
263 	1.760456 	1.758207 	0.001278
