Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
52	 0.002730	 0.002570	 0.000074	 0.000000	 0.000055	0.153961	 0.146143	 0.003583	 0.000000	 0.002161
53	 0.002745	 0.002640	 0.000047	 0.000000	 0.000029	0.156706	 0.148783	 0.003630	 0.000000	 0.002190
54	 0.002847	 0.002684	 0.000075	 0.000000	 0.000051	0.159553	 0.151467	 0.003705	 0.000000	 0.002241
55	 0.002839	 0.002739	 0.000045	 0.000000	 0.000029	0.162392	 0.154206	 0.003750	 0.000000	 0.002270
56	 0.002596	 0.002449	 0.000061	 0.000000	 0.000053	0.164988	 0.156655	 0.003811	 0.000000	 0.002323
57	 0.002674	 0.002574	 0.000049	 0.000000	 0.000025	0.167662	 0.159229	 0.003860	 0.000000	 0.002348
58	 0.002745	 0.002577	 0.000075	 0.000000	 0.000057	0.170407	 0.161806	 0.003935	 0.000000	 0.002405
59	 0.002796	 0.002700	 0.000043	 0.000000	 0.000026	0.173203	 0.164506	 0.003978	 0.000000	 0.002431
60	 0.003024	 0.002858	 0.000077	 0.000000	 0.000052	0.176227	 0.167364	 0.004055	 0.000000	 0.002483
61	 0.002719	 0.002590	 0.000065	 0.000000	 0.000032	0.178946	 0.169954	 0.004120	 0.000000	 0.002515
62	 0.002723	 0.002553	 0.000081	 0.000000	 0.000054	0.181669	 0.172507	 0.004201	 0.000000	 0.002569
63	 0.002453	 0.002350	 0.000049	 0.000000	 0.000026	0.184122	 0.174857	 0.004250	 0.000000	 0.002595
64	 0.002779	 0.002610	 0.000078	 0.000000	 0.000055	0.186901	 0.177467	 0.004328	 0.000000	 0.002650
65	 0.002576	 0.002468	 0.000049	 0.000000	 0.000031	0.189477	 0.179935	 0.004377	 0.000000	 0.002681
66	 0.002687	 0.002520	 0.000073	 0.000000	 0.000058	0.192164	 0.182455	 0.004450	 0.000000	 0.002739
67	 0.002853	 0.002753	 0.000034	 0.000000	 0.000031	0.195017	 0.185208	 0.004484	 0.000000	 0.002770
68	 0.002754	 0.002581	 0.000082	 0.000000	 0.000058	0.197771	 0.187789	 0.004566	 0.000000	 0.002828
69	 0.002946	 0.002843	 0.000048	 0.000000	 0.000027	0.200717	 0.190632	 0.004614	 0.000000	 0.002855
70	 0.002815	 0.002636	 0.000073	 0.000000	 0.000057	0.203532	 0.193268	 0.004687	 0.000000	 0.002912
71	 0.002647	 0.002557	 0.000032	 0.000000	 0.000031	0.206179	 0.195825	 0.004719	 0.000000	 0.002943
72	 0.002751	 0.002578	 0.000079	 0.000000	 0.000059	0.208930	 0.198403	 0.004798	 0.000000	 0.003002
73	 0.002872	 0.002764	 0.000048	 0.000000	 0.000033	0.211802	 0.201167	 0.004846	 0.000000	 0.003035
74	 0.002697	 0.002526	 0.000076	 0.000000	 0.000058	0.214499	 0.203693	 0.004922	 0.000000	 0.003093
75	 0.003281	 0.003170	 0.000047	 0.000000	 0.000034	0.217780	 0.206863	 0.004969	 0.000000	 0.003127
76	 0.003001	 0.002819	 0.000079	 0.000000	 0.000064	0.220781	 0.209682	 0.005048	 0.000000	 0.003191
77	 0.003444	 0.003270	 0.000077	 0.000000	 0.000039	0.224225	 0.212952	 0.005125	 0.000000	 0.003230
78	 0.002922	 0.002734	 0.000095	 0.000000	 0.000055	0.227147	 0.215686	 0.005220	 0.000000	 0.003285
79	 0.003243	 0.003130	 0.000052	 0.000000	 0.000031	0.230390	 0.218816	 0.005272	 0.000000	 0.003316
80	 0.003033	 0.002853	 0.000070	 0.000000	 0.000069	0.233423	 0.221669	 0.005342	 0.000000	 0.003385
81	 0.002938	 0.002835	 0.000051	 0.000000	 0.000027	0.236361	 0.224504	 0.005393	 0.000000	 0.003412
82	 0.003221	 0.003058	 0.000065	 0.000000	 0.000065	0.239582	 0.227562	 0.005458	 0.000000	 0.003477
83	 0.002874	 0.002761	 0.000048	 0.000000	 0.000036	0.242456	 0.230323	 0.005506	 0.000000	 0.003513
84	 0.003144	 0.002973	 0.000077	 0.000000	 0.000060	0.245600	 0.233296	 0.005583	 0.000000	 0.003573
85	 0.003306	 0.003198	 0.000046	 0.000000	 0.000035	0.248906	 0.236494	 0.005629	 0.000000	 0.003608
86	 0.002698	 0.002528	 0.000072	 0.000000	 0.000062	0.251604	 0.239022	 0.005701	 0.000000	 0.003670
87	 0.002630	 0.002521	 0.000047	 0.000000	 0.000034	0.254234	 0.241543	 0.005748	 0.000000	 0.003704
88	 0.003002	 0.002847	 0.000061	 0.000000	 0.000059	0.257236	 0.244390	 0.005809	 0.000000	 0.003763
89	 0.002791	 0.002670	 0.000056	 0.000000	 0.000032	0.260027	 0.247060	 0.005865	 0.000000	 0.003795
